,Country or Area,ISO-alpha3 Code,M49 Code,Region 1,Region 2,Continent
122,Kyrgyzstan,KGZ,417,Central Asia,None,Asia
123,Lao People's Democratic Republic,LAO,418,South-eastern Asia,None,Asia
124,Latvia,LVA,428,Northern Europe,None,Europe
125,Lebanon,LBN,422,Western Asia,None,Asia
126,Lesotho,LSO,426,Southern Africa,Sub-Saharan Africa,Africa
127,Liberia,LBR,430,Western Africa,Sub-Saharan Africa,Africa
128,Libya,LBY,434,Northern Africa,None,Africa
129,Liechtenstein,LIE,438,Western Europe,None,Europe
130,Lithuania,LTU,440,Northern Europe,None,Europe
131,Luxembourg,LUX,442,Western Europe,None,Europe
132,Madagascar,MDG,450,Eastern Africa,Sub-Saharan Africa,Africa
133,Malawi,MWI,454,Eastern Africa,Sub-Saharan Africa,Africa
134,Malaysia,MYS,458,South-eastern Asia,None,Asia
135,Maldives,MDV,462,Southern Asia,None,Asia
136,Mali,MLI,466,Western Africa,Sub-Saharan Africa,Africa
137,Malta,MLT,470,Southern Europe,None,Europe
138,Marshall Islands,MHL,584,Micronesia,None,Oceania
139,Martinique,MTQ,474,Caribbean,Latin America and the Caribbean,North America
140,Mauritania,MRT,478,Western Africa,Sub-Saharan Africa,Africa
141,Mauritius,MUS,480,Eastern Africa,Sub-Saharan Africa,Africa
142,Mayotte,MYT,175,Eastern Africa,Sub-Saharan Africa,Africa
143,Mexico,MEX,484,Central America,Latin America and the Caribbean,North America
144,Micronesia (Federated States of),FSM,583,Micronesia,None,Oceania
145,Monaco,MCO,492,Western Europe,None,Europe
146,Mongolia,MNG,496,Eastern Asia,None,Asia
147,Montenegro,MNE,499,Southern Europe,None,Europe
148,Montserrat,MSR,500,Caribbean,Latin America and the Caribbean,North America
149,Morocco,MAR,504,Northern Africa,None,Africa
150,Mozambique,MOZ,508,Eastern Africa,Sub-Saharan Africa,Africa
151,Myanmar,MMR,104,South-eastern Asia,None,Asia
152,Namibia,NAM,516,Southern Africa,Sub-Saharan Africa,Africa
153,Nauru,NRU,520,Micronesia,None,Oceania
154,Nepal,NPL,524,Southern Asia,None,Asia
155,Netherlands,NLD,528,Western Europe,None,Europe
156,New Caledonia,NCL,540,Melanesia,None,Oceania
157,New Zealand,NZL,554,Australia and New Zealand,None,Oceania
158,Nicaragua,NIC,558,Central America,Latin America and the Caribbean,North America
159,Niger,NER,562,Western Africa,Sub-Saharan Africa,Africa
160,Nigeria,NGA,566,Western Africa,Sub-Saharan Africa,Africa
161,Niue,NIU,570,Polynesia,None,Oceania
162,Norfolk Island,NFK,574,Australia and New Zealand,None,Oceania
