,team,position,points,won,goalsFor,form,age,overall,value
0,FC Bayern München,1.0,75.0,24.0,92.0,1.0,24.6,76.43333333333334,32477666.666666668
1,Borussia Dortmund,2.0,63.0,20.0,77.0,1.0,24.096774193548388,75.74193548387096,21441935.48387097
2,Bayer 04 Leverkusen,3.0,55.0,16.0,72.0,1.0,23.482758620689655,74.79310344827586,16409482.75862069
3,RB Leipzig,4.0,54.0,16.0,66.0,1.0,22.454545454545453,71.66666666666667,16665454.545454545
4,Sport-Club Freiburg,5.0,52.0,14.0,52.0,1.0,24.346153846153847,71.96153846153847,5980769.230769231
5,1. FC Union Berlin,6.0,50.0,14.0,42.0,1.0,26.5,71.03846153846153,2803846.153846154
6,1. FC Köln,7.0,49.0,13.0,47.0,1.0,24.137931034482758,69.6896551724138,4117068.9655172415
7,TSG Hoffenheim,8.0,46.0,13.0,52.0,1.0,24.151515151515152,71.12121212121212,6837121.212121212
8,Eintracht Frankfurt,9.0,40.0,10.0,42.0,0.0,24.375,71.6875,8524687.5
9,1. FSV Mainz 05,10.0,39.0,11.0,43.0,0.0,23.903225806451612,69.35483870967742,4119354.8387096776
10,Borussia Mönchengladbach,11.0,38.0,10.0,45.0,0.0,23.875,71.71875,9661718.75
11,VfL Wolfsburg,12.0,37.0,11.0,39.0,0.0,23.93103448275862,73.03448275862068,10194827.586206896
12,VfL Bochum 1848,13.0,36.0,10.0,30.0,0.0,26.482758620689655,69.06896551724138,2007758.6206896552
13,FC Augsburg,14.0,35.0,9.0,36.0,0.0,24.34375,69.625,3867968.75
14,Hertha BSC,15.0,32.0,9.0,34.0,0.0,24.6875,70.28125,4018750.0
15,VfB Stuttgart,16.0,28.0,6.0,36.0,0.0,21.696969696969695,69.39393939393939,4562121.212121212
16,DSC Arminia Bielefeld,17.0,26.0,5.0,24.0,0.0,23.807692307692307,69.5,3314423.076923077
17,SpVgg Greuther Fürth,18.0,17.0,3.0,25.0,0.0,23.75862068965517,67.34482758620689,1988793.103448276
