,team,position,points,won,goalsFor,form,age,overall,value
78,AC Milan,1.0,74.0,22.0,60.0,1.0,25.642857142857142,77.07142857142857,21530357.14285714
79,Inter,2.0,72.0,21.0,72.0,1.0,28.807692307692307,79.76923076923077,24482692.307692308
80,Napoli,3.0,67.0,20.0,61.0,1.0,27.08695652173913,78.82608695652173,22234782.608695652
81,Juventus,4.0,66.0,19.0,52.0,1.0,25.807692307692307,79.3076923076923,28069230.769230768
82,Roma,5.0,58.0,17.0,55.0,1.0,23.5625,72.96875,12200000.0
83,Lazio,6.0,56.0,16.0,66.0,1.0,26.72,75.32,14181000.0
84,Fiorentina,7.0,56.0,17.0,54.0,1.0,25.923076923076923,74.1923076923077,9019230.76923077
85,Atalanta,8.0,55.0,15.0,61.0,1.0,25.77777777777778,75.51851851851852,15463333.333333334
86,Hellas Verona,9.0,49.0,13.0,59.0,1.0,25.208333333333332,72.95833333333333,5928125.0
87,U.S. Sassuolo Calcio,10.0,46.0,12.0,59.0,1.0,26.037037037037038,71.22222222222223,5307592.592592592
88,Torino F.C.,11.0,44.0,11.0,42.0,0.0,24.379310344827587,72.06896551724138,6307758.620689655
89,Udinese Calcio,12.0,43.0,10.0,53.0,0.0,26.043478260869566,72.52173913043478,5307608.695652174
90,Bologna,13.0,42.0,11.0,39.0,0.0,24.93103448275862,70.86206896551724,5271551.724137931
91,Empoli,14.0,37.0,9.0,45.0,0.0,24.37037037037037,69.48148148148148,2797592.592592593
92,Spezia,15.0,33.0,9.0,34.0,0.0,23.214285714285715,68.10714285714286,2239285.714285714
93,U.C. Sampdoria,16.0,30.0,8.0,41.0,0.0,27.0,72.25,5100000.0
94,Cagliari,17.0,28.0,6.0,31.0,0.0,24.448275862068964,69.58620689655173,4059137.9310344825
95,US Salernitana 1919,18.0,25.0,6.0,28.0,0.0,26.393939393939394,68.06060606060606,1798484.8484848484
96,Genoa,19.0,25.0,3.0,25.0,0.0,24.580645161290324,70.58064516129032,3144516.129032258
97,Venezia FC,20.0,22.0,5.0,27.0,0.0,25.580645161290324,69.35483870967742,2887580.64516129
