nationality,positions,mean_wage,mean_value,mean_overall,count
Angola,CDM,12000.0,1500000.0,71.0,1
Angola,RM,10283.333333333334,1733333.3333333333,66.33333333333333,3
Angola,LM,8808.333333333334,1800000.0,66.5,6
Angola,RW,6000.0,2081250.0,67.0,4
Angola,RWB,5000.0,1300000.0,69.0,1
Angola,CM,4566.666666666667,783333.3333333334,62.333333333333336,3
Angola,CAM,3940.0,1010000.0,63.0,5
Angola,LW,2500.0,1412500.0,65.0,2
Antigua and Barbuda,RWB,7000.0,1700000.0,69.0,1
Antigua and Barbuda,RB,4500.0,1150000.0,65.5,2
Antigua and Barbuda,CB,2000.0,275000.0,61.0,1
Argentina,CF,36575.0,13408333.333333334,72.38888888888889,18
Argentina,RW,19774.166666666668,7883333.333333333,69.81666666666666,60
Argentina,ST,13423.391812865497,4459356.725146199,69.12865497076024,171
Argentina,LW,11352.702702702703,5028378.378378378,69.06756756756756,74
Argentina,CAM,9479.411764705883,4043277.31092437,69.89075630252101,119
Argentina,LWB,9270.833333333334,2487500.0,70.20833333333333,24
Argentina,CM,9056.038647342995,3159082.125603865,68.9951690821256,207
Argentina,CDM,8844.117647058823,3269159.663865546,69.3109243697479,119
Argentina,GK,8773.417721518987,2759050.6329113925,69.10126582278481,79
Argentina,CB,8117.559523809524,2752083.3333333335,68.89285714285714,168
Argentina,RM,8082.786885245901,3302459.0163934426,68.58196721311475,122
Argentina,LM,7934.2307692307695,2869807.6923076925,68.87692307692308,130
Argentina,RWB,7397.619047619048,3250000.0,69.85714285714286,21
Argentina,LB,7071.764705882353,2897058.8235294116,68.62352941176471,85
Argentina,RB,6152.666666666667,2307000.0,68.16,75
Armenia,LW,69000.0,20500000.0,81.0,1
Armenia,LM,34333.333333333336,8566666.666666666,73.66666666666667,3
Armenia,CAM,28000.0,10250000.0,75.0,4
Armenia,ST,14666.666666666666,2433333.3333333335,70.0,3
Armenia,CB,10000.0,1087500.0,68.5,2
Armenia,RW,10000.0,2100000.0,70.0,1
Armenia,RM,5500.0,1300000.0,64.5,2
Armenia,CF,1000.0,500000.0,59.0,1
Australia,RW,2992.3076923076924,818461.5384615385,61.15384615384615,13
Australia,CM,2977.0491803278687,956639.344262295,62.50819672131148,61
Australia,RM,2904.878048780488,848414.6341463415,61.63414634146341,41
Australia,CDM,2499.056603773585,820849.0566037736,62.84905660377358,53
Australia,CAM,2213.75,915625.0,60.325,40
Australia,LM,2032.8125,727656.25,61.25,32
Australia,CB,1923.1884057971015,595289.8550724637,61.46376811594203,69
Australia,GK,1864.2857142857142,581857.1428571428,59.142857142857146,35
Australia,ST,1851.25,675500.0,61.075,40
Australia,LB,1651.3513513513512,540540.5405405406,61.24324324324324,37
Australia,LW,1535.7142857142858,608214.2857142857,60.0,14
Australia,CF,1512.5,385000.0,58.25,4
Australia,RB,1406.25,579843.75,60.40625,32
Australia,RWB,1263.6363636363637,693181.8181818182,62.18181818181818,11
Australia,LWB,1155.8823529411766,458235.29411764705,60.0,17
Austria,RWB,15895.454545454546,3854545.4545454546,68.45454545454545,11
Austria,LB,11857.8125,2592968.75,66.40625,32
Austria,CB,10768.65671641791,3063134.3283582088,67.86567164179104,67
Austria,CAM,10560.975609756097,3004878.048780488,68.02439024390245,41
Austria,RB,10356.944444444445,2632638.888888889,67.08333333333333,36
Austria,CDM,10270.588235294117,3613235.294117647,67.07843137254902,51
Austria,RM,10042.391304347826,1979347.8260869565,66.91304347826087,46
Austria,CM,9654.166666666666,3276041.6666666665,66.68055555555556,72
Austria,ST,8034.210526315789,1922807.0175438595,65.50877192982456,57
Austria,CF,7750.0,1528571.4285714286,66.07142857142857,14
Austria,LW,6833.333333333333,2445833.3333333335,68.16666666666667,6
Austria,LM,6788.135593220339,1775000.0,65.42372881355932,59
Austria,LWB,5136.363636363636,1520454.5454545454,64.9090909090909,11
Austria,RW,4666.666666666667,2691666.6666666665,69.33333333333333,3
Austria,GK,4583.75,888500.0,64.45,40
Azerbaijan,ST,5875.0,1143750.0,65.25,4
Azerbaijan,CAM,4000.0,850000.0,67.0,1
Azerbaijan,CB,1000.0,900000.0,65.0,1
Azerbaijan,LB,1000.0,900000.0,65.0,1
Azerbaijan,LM,700.0,230000.0,56.0,1
Barbados,LW,2000.0,240000.0,59.0,1
Barbados,ST,2000.0,240000.0,59.0,1
Belarus,ST,10000.0,1400000.0,66.0,1
Belarus,CAM,1425.0,862500.0,60.5,2
Belarus,GK,900.0,300000.0,59.0,1
Belarus,CM,850.0,1200000.0,63.0,1
Belarus,RM,850.0,1200000.0,63.0,1
Belgium,CF,36581.25,9037500.0,72.875,8
Belgium,LW,25589.473684210527,6780263.157894737,68.78947368421052,19
Belgium,ST,19937.5,5425000.0,67.68181818181819,44
Belgium,CM,16072.077922077922,5255194.805194805,68.23376623376623,77
Belgium,CAM,15988.59649122807,5224122.807017544,66.54385964912281,57
Belgium,LWB,14722.222222222223,4152777.777777778,68.44444444444444,9
Belgium,RW,11437.5,5378125.0,68.9375,16
Belgium,GK,11364.893617021276,3968191.489361702,65.34042553191489,47
Belgium,LM,11150.0,3945270.2702702703,66.75675675675676,37
Belgium,CDM,11055.66037735849,3901415.0943396227,67.9245283018868,53
Belgium,RM,10349.074074074075,3583796.296296296,67.70370370370371,54
Belgium,CB,10091.935483870968,2514758.064516129,66.83870967741936,62
Belgium,RB,8779.48717948718,2378205.128205128,66.84615384615384,39
Belgium,RWB,6303.333333333333,1751666.6666666667,67.26666666666667,15
Belgium,LB,5511.111111111111,1702777.7777777778,65.81481481481481,27
Benin,CB,15000.0,3200000.0,73.0,1
Benin,RM,10000.0,1850000.0,70.5,2
Benin,ST,8975.0,2050000.0,66.0,2
Benin,CAM,5000.0,850000.0,66.0,1
Benin,LM,5000.0,1125000.0,67.5,2
Benin,GK,2000.0,1200000.0,69.0,1
Benin,CDM,1500.0,1250000.0,65.5,2
Benin,CM,1233.3333333333333,983333.3333333334,63.0,3
Bermuda,LM,17000.0,1200000.0,69.0,1
Bermuda,ST,17000.0,1200000.0,69.0,1
Bhutan,LM,600.0,500000.0,62.0,1
Bhutan,LW,600.0,500000.0,62.0,1
Bhutan,ST,600.0,500000.0,62.0,1
Bolivia,CAM,1093.75,1034375.0,67.5,8
Bolivia,GK,842.1052631578947,578947.3684210526,63.31578947368421,19
Bolivia,LM,821.875,1020000.0,64.375,16
Bolivia,CDM,750.0,788333.3333333334,64.08333333333333,24
Bolivia,RWB,650.0,1062500.0,68.0,2
Bolivia,CM,614.5833333333334,1009375.0,64.16666666666667,24
Bolivia,CB,584.0909090909091,712045.4545454546,64.54545454545455,22
Bolivia,ST,540.625,800625.0,64.625,16
Bolivia,RM,527.7777777777778,705277.7777777778,62.888888888888886,18
Bolivia,RB,521.4285714285714,660952.380952381,64.0952380952381,21
Bolivia,LW,515.0,1042500.0,64.3,10
Bolivia,RW,508.3333333333333,660833.3333333334,62.666666666666664,12
Bolivia,CF,500.0,366666.6666666667,61.333333333333336,3
Bolivia,LB,500.0,662631.5789473684,63.1578947368421,19
Bolivia,LWB,500.0,962500.0,64.5,2
Bosnia and Herzegovina,RM,21333.333333333332,9658333.333333334,73.33333333333333,3
Bosnia and Herzegovina,ST,20444.444444444445,3922222.222222222,69.88888888888889,9
Bosnia and Herzegovina,CM,17481.57894736842,3350000.0,70.57894736842105,19
Bosnia and Herzegovina,CDM,16946.875,3093750.0,69.6875,16
Bosnia and Herzegovina,RW,14700.0,6940000.0,72.4,5
Bosnia and Herzegovina,CAM,10888.888888888889,2769444.4444444445,70.33333333333333,9
Bosnia and Herzegovina,LB,9912.5,2575000.0,69.75,4
Bosnia and Herzegovina,GK,8527.777777777777,1000000.0,67.44444444444444,9
Bosnia and Herzegovina,CB,8083.333333333333,1921666.6666666667,69.46666666666667,15
Bosnia and Herzegovina,LM,6400.0,1525000.0,67.8,5
Bosnia and Herzegovina,RB,4333.333333333333,1358333.3333333333,66.66666666666667,3
Bosnia and Herzegovina,LW,3250.0,1350000.0,67.5,2
Bosnia and Herzegovina,LWB,3000.0,850000.0,66.0,1
Brazil,CF,21764.285714285714,7260714.285714285,71.80952380952381,42
Brazil,LW,20202.542372881355,8213559.322033898,70.55932203389831,59
Brazil,LB,19105.392156862745,5225392.156862745,72.19607843137256,102
Brazil,RW,18516.964285714286,7389285.714285715,70.94642857142857,56
Brazil,CDM,17725.179856115108,5112769.784172662,71.61151079136691,139
Brazil,CAM,17678.08219178082,5682363.01369863,71.13698630136986,146
Brazil,RM,17253.409090909092,5285795.454545454,71.29545454545455,88
Brazil,CM,16522.222222222223,4936111.111111111,71.52777777777777,144
Brazil,CB,16512.43093922652,5558508.287292818,70.98895027624309,181
Brazil,LWB,15714.285714285714,5335714.285714285,71.5,14
Brazil,GK,15536.567164179105,5275970.149253732,70.7910447761194,67
Brazil,RB,15448.684210526315,3829605.263157895,71.47368421052632,76
Brazil,RWB,15285.714285714286,3666071.4285714286,70.78571428571429,14
Brazil,LM,14945.833333333334,5299074.074074074,71.10185185185185,108
Brazil,ST,12985.057471264368,3948563.2183908047,69.84482758620689,174
Bulgaria,CM,5000.0,1141666.6666666667,66.33333333333333,3
Bulgaria,RB,5000.0,700000.0,67.0,1
Bulgaria,CAM,4000.0,958333.3333333334,64.0,3
Bulgaria,LWB,4000.0,925000.0,66.0,1
Bulgaria,LM,2900.0,1637500.0,65.25,4
Bulgaria,RM,2900.0,1487500.0,64.5,4
Bulgaria,CDM,2500.0,1039285.7142857143,63.42857142857143,7
Bulgaria,LB,2500.0,552500.0,62.0,2
Bulgaria,ST,2150.0,1312500.0,64.5,4
Bulgaria,GK,2000.0,750000.0,65.0,1
Bulgaria,CB,1655.5555555555557,838888.8888888889,62.888888888888886,9
Burkina Faso,RW,29000.0,5900000.0,66.0,2
Burkina Faso,RB,28000.0,3200000.0,69.0,1
Burkina Faso,RWB,28000.0,3200000.0,69.0,1
Burkina Faso,RM,20333.333333333332,4800000.0,69.66666666666667,3
Burkina Faso,CB,12650.0,10731250.0,66.0,4
Burkina Faso,GK,8000.0,3700000.0,73.0,1
Burkina Faso,CM,5000.0,1300000.0,67.5,2
Burkina Faso,CDM,3666.6666666666665,1366666.6666666667,66.66666666666667,3
Burkina Faso,LB,3000.0,1100000.0,64.0,1
Burkina Faso,CAM,2500.0,1437500.0,62.5,2
Burkina Faso,ST,1660.0,2380000.0,65.4,5
Burkina Faso,LM,1000.0,475000.0,58.0,1
Burkina Faso,LW,1000.0,300000.0,55.0,1
Burundi,CB,17000.0,3900000.0,71.0,1
Burundi,CM,17000.0,3900000.0,71.0,1
Burundi,CDM,9000.0,2250000.0,66.0,2
Burundi,CAM,2000.0,525000.0,62.0,2
Burundi,ST,2000.0,525000.0,62.0,2
Burundi,LM,1400.0,350000.0,60.0,2
Burundi,LB,800.0,425000.0,61.0,1
Burundi,RM,800.0,375000.0,57.0,1
Cameroon,LM,16428.571428571428,4050000.0,70.14285714285714,7
Cameroon,LWB,15000.0,525000.0,67.0,1
Cameroon,CB,14565.90909090909,3379545.4545454546,68.4090909090909,22
Cameroon,ST,13692.857142857143,3719285.714285714,69.5,14
Cameroon,RWB,12000.0,1400000.0,70.0,1
Cameroon,RM,10800.0,3940000.0,73.6,5
Cameroon,LB,10222.222222222223,2086111.111111111,69.22222222222223,9
Cameroon,CM,9842.5,3351250.0,67.95,20
Cameroon,GK,8900.0,15637500.0,69.5,2
Cameroon,CDM,8440.90909090909,3020454.5454545454,67.18181818181819,22
Cameroon,RW,7800.0,2610000.0,63.5,2
Cameroon,RB,7385.714285714285,1917857.142857143,68.14285714285714,7
Cameroon,LW,6666.666666666667,1633333.3333333333,67.66666666666667,3
Cameroon,CAM,1375.0,787500.0,62.5,2
Canada,LB,9638.461538461539,5372692.307692308,64.53846153846153,13
Canada,ST,8566.666666666666,3561666.6666666665,65.2,15
Canada,RW,8166.666666666667,1537500.0,64.16666666666667,6
Canada,RWB,8000.0,1545000.0,67.0,5
Canada,LW,7178.571428571428,1578571.4285714286,64.42857142857143,7
Canada,LM,6836.111111111111,4140277.777777778,64.16666666666667,18
Canada,CM,6143.75,1693750.0,65.6875,16
Canada,RB,6111.111111111111,1282777.7777777778,63.77777777777778,9
Canada,CDM,4514.285714285715,1710000.0,64.07142857142857,14
Canada,RM,3473.076923076923,871153.8461538461,61.92307692307692,13
Canada,CF,3425.0,1205000.0,61.5,2
Canada,CB,2135.714285714286,761785.7142857143,61.785714285714285,14
Canada,GK,2083.3333333333335,998333.3333333334,63.22222222222222,9
Canada,LWB,2000.0,941666.6666666666,64.0,3
Canada,CAM,800.0,242500.0,53.0,2
Cape Verde Islands,RB,20000.0,1900000.0,71.0,1
Cape Verde Islands,ST,18166.666666666668,3716666.6666666665,71.5,6
Cape Verde Islands,LW,10000.0,5212500.0,68.75,4
Cape Verde Islands,CB,9500.0,1062500.0,67.0,4
Cape Verde Islands,LM,9500.0,3950000.0,72.0,2
Cape Verde Islands,RM,8500.0,2000000.0,69.5,2
Cape Verde Islands,RW,8000.0,8562500.0,70.5,2
Cape Verde Islands,CAM,5000.0,3275000.0,68.33333333333333,3
Cape Verde Islands,CM,3380.0,1998000.0,66.0,5
Cape Verde Islands,CF,2000.0,1900000.0,66.0,1
Cape Verde Islands,CDM,1975.0,997500.0,63.75,4
Cape Verde Islands,GK,1000.0,775000.0,62.0,1
Central African Republic,CB,58000.0,17500000.0,79.0,1
Central African Republic,CDM,58000.0,17500000.0,79.0,1
Central African Republic,CM,58000.0,17500000.0,79.0,1
Central African Republic,ST,10000.0,1700000.0,69.0,1
Chad,LM,16000.0,1900000.0,71.0,1
Chad,ST,10000.0,1400000.0,67.5,2
Chile,CF,20800.0,3400000.0,67.2,5
Chile,LWB,12500.0,4300000.0,72.5,2
Chile,CM,10126.315789473685,2409342.1052631577,66.71052631578948,38
Chile,ST,9380.0,2193000.0,66.84,25
Chile,LW,8833.333333333334,2597916.6666666665,69.75,12
Chile,CDM,7447.916666666667,1903125.0,65.79166666666667,24
Chile,RW,7440.909090909091,1875000.0,68.54545454545455,11
Chile,CB,7351.388888888889,2039583.3333333333,66.55555555555556,36
Chile,LB,5968.75,2118750.0,67.75,16
Chile,RM,5729.411764705882,1858823.5294117648,67.0,17
Chile,CAM,5607.5,1663750.0,67.7,20
Chile,LM,3877.5,1556250.0,66.45,20
Chile,GK,3478.125,816875.0,63.0,16
Chile,RB,2556.25,1084375.0,65.375,16
China PR,LW,4307.692307692308,608461.5384615385,62.30769230769231,13
China PR,LM,3448.9795918367345,470918.36734693876,60.48979591836735,49
China PR,LWB,3307.6923076923076,488076.92307692306,61.23076923076923,13
China PR,RWB,3280.0,365500.0,57.1,10
China PR,LB,3185.185185185185,380648.14814814815,59.629629629629626,54
China PR,RB,3160.0,355100.0,59.26,50
China PR,RM,3157.8947368421054,417807.01754385966,59.50877192982456,57
China PR,CAM,3047.6190476190477,364047.61904761905,57.42857142857143,21
China PR,CDM,2946.969696969697,313863.63636363635,58.484848484848484,66
China PR,RW,2934.782608695652,366956.52173913043,57.91304347826087,23
China PR,CM,2810.3260869565215,274836.95652173914,57.130434782608695,92
China PR,CB,2658.7912087912086,306043.95604395604,57.824175824175825,91
China PR,ST,2625.5102040816328,310204.0816326531,56.02040816326531,49
China PR,CF,2333.3333333333335,311666.6666666667,57.0,3
China PR,GK,1983.0357142857142,218750.0,57.0,56
Chinese Taipei,CM,7000.0,1500000.0,69.0,1
Chinese Taipei,CAM,2000.0,475000.0,64.0,1
Chinese Taipei,CF,2000.0,475000.0,64.0,1
Chinese Taipei,RM,2000.0,475000.0,64.0,1
Colombia,LW,14029.166666666666,5355208.333333333,69.16666666666667,24
Colombia,ST,11236.363636363636,3976363.6363636362,69.23636363636363,55
Colombia,LM,9774.509803921568,3663823.529411765,69.86274509803921,51
Colombia,LWB,9000.0,2031250.0,69.25,4
Colombia,RM,8477.083333333334,2745625.0,68.8125,48
Colombia,RB,8262.5,2428214.285714286,67.53571428571429,28
Colombia,CAM,7619.354838709677,3338548.3870967743,69.87096774193549,31
Colombia,RW,7419.565217391304,2405434.782608696,67.43478260869566,23
Colombia,CB,6754.761904761905,2120476.1904761903,67.04761904761905,63
Colombia,CM,5209.803921568628,2041372.549019608,66.82352941176471,51
Colombia,CDM,4635.714285714285,1981020.4081632653,67.55102040816327,49
Colombia,CF,4300.0,2157142.8571428573,68.71428571428571,7
Colombia,LB,4283.333333333333,1575833.3333333333,67.16666666666667,30
Colombia,GK,3719.0476190476193,1330476.1904761905,65.33333333333333,21
Comoros,CAM,10000.0,2500000.0,72.0,2
Comoros,CM,7000.0,1800000.0,71.0,1
Comoros,LM,5516.666666666667,1591666.6666666667,65.0,3
Comoros,LW,3000.0,1100000.0,67.0,1
Comoros,RB,2333.3333333333335,675000.0,65.33333333333333,3
Comoros,LB,2000.0,862500.0,65.0,2
Comoros,CDM,750.0,180000.0,52.0,1
Comoros,RM,550.0,475000.0,59.0,1
Congo,GK,28000.0,3000000.0,73.0,1
Congo,CAM,8000.0,2400000.0,70.0,1
Congo,LW,7000.0,1400000.0,68.0,1
Congo,CM,5666.666666666667,1675000.0,66.0,3
Congo,RW,5500.0,1025000.0,66.0,2
Congo,LM,5000.0,1700000.0,66.5,2
Congo,RM,4333.333333333333,1250000.0,65.66666666666667,3
Congo,LB,4000.0,1100000.0,66.0,1
Congo,LWB,4000.0,1100000.0,66.0,1
Congo,CB,3500.0,1237500.0,68.5,2
Congo,ST,3458.3333333333335,1029166.6666666666,64.66666666666667,6
Congo,CDM,3000.0,550000.0,64.5,2
Congo,CF,3000.0,1200000.0,67.0,1
Congo DR,LWB,27000.0,3625000.0,67.5,2
Congo DR,LM,16857.14285714286,3757142.8571428573,69.71428571428571,7
Congo DR,LB,14766.666666666666,2020833.3333333333,66.33333333333333,6
Congo DR,ST,14172.727272727272,4152272.727272727,68.36363636363636,11
Congo DR,LW,13500.0,2716666.6666666665,70.66666666666667,6
Congo DR,CAM,12960.0,3030000.0,69.0,5
Congo DR,CB,12316.666666666666,3866666.6666666665,69.11111111111111,9
Congo DR,RM,10650.0,2545833.3333333335,69.58333333333333,12
Congo DR,RB,10400.0,1435000.0,67.6,5
Congo DR,CM,6865.0,1832500.0,67.1,10
Congo DR,CDM,6554.166666666667,1735416.6666666667,67.0,12
Congo DR,RW,5533.333333333333,1672222.2222222222,68.88888888888889,9
Congo DR,CF,1000.0,1200000.0,65.0,1
Congo DR,GK,700.0,975000.0,63.0,1
Costa Rica,GK,130000.0,15500000.0,88.0,1
Costa Rica,RW,13500.0,2950000.0,68.5,2
Costa Rica,CB,12500.0,1700000.0,71.5,2
Costa Rica,RB,9500.0,1387500.0,68.0,2
Costa Rica,LW,9333.333333333334,2158333.3333333335,66.66666666666667,3
Costa Rica,ST,6500.0,1675000.0,66.5,6
Costa Rica,CAM,5000.0,2300000.0,72.0,1
Costa Rica,LM,5000.0,2300000.0,71.0,2
Costa Rica,LWB,5000.0,2000000.0,71.0,1
Costa Rica,LB,4500.0,1175000.0,67.0,2
Costa Rica,CM,3500.0,1537500.0,68.0,2
Costa Rica,RM,3333.3333333333335,1641666.6666666667,67.0,3
Costa Rica,CDM,2000.0,775000.0,64.0,1
Costa Rica,CF,1000.0,725000.0,66.0,1
Croatia,CF,33500.0,8537000.0,68.2,5
Croatia,LWB,26420.0,8165000.0,72.4,5
Croatia,CM,23258.064516129034,6818548.387096774,71.83870967741936,31
Croatia,RB,22928.571428571428,5271428.571428572,70.42857142857143,7
Croatia,LM,20157.69230769231,8809615.384615384,71.0,13
Croatia,CAM,13445.833333333334,5805208.333333333,70.33333333333333,24
Croatia,LW,13055.555555555555,7972222.222222222,71.55555555555556,9
Croatia,CDM,12886.206896551725,3545862.0689655175,69.65517241379311,29
Croatia,RM,10725.0,5306250.0,70.5,8
Croatia,LB,10540.625,4842187.5,69.125,16
Croatia,RW,9075.0,1795000.0,64.5,8
Croatia,ST,7608.064516129032,4249516.129032258,68.12903225806451,31
Croatia,CB,7496.0,2732200.0,67.96,50
Croatia,GK,4973.076923076923,3266923.076923077,69.92307692307692,13
Croatia,RWB,1300.0,385000.0,58.5,2
Cuba,LM,20000.0,1600000.0,70.0,1
Cuba,LWB,20000.0,1600000.0,70.0,1
Cuba,ST,20000.0,1600000.0,70.0,1
Cuba,CDM,3000.0,450000.0,70.0,1
Cuba,CM,3000.0,450000.0,70.0,1
Cuba,RM,2000.0,575000.0,64.0,1
Curacao,RWB,14000.0,1200000.0,68.0,1
Curacao,CAM,11000.0,3200000.0,70.0,1
Curacao,CM,9333.333333333334,1691666.6666666667,68.33333333333333,3
Curacao,RW,8000.0,912500.0,65.5,2
Curacao,GK,6000.0,2100000.0,74.0,1
Curacao,LW,4333.333333333333,1241666.6666666667,66.33333333333333,3
Curacao,CDM,3000.0,675000.0,67.0,1
Curacao,ST,3000.0,900000.0,64.75,4
Curacao,RB,2500.0,662500.0,65.5,2
Curacao,CB,2000.0,575000.0,66.0,1
Cyprus,CAM,5400.0,1191666.6666666667,65.0,3
Cyprus,CM,4010.0,910000.0,62.6,5
Cyprus,LB,4000.0,1318750.0,65.5,4
Cyprus,CB,3750.0,1445000.0,65.75,4
Cyprus,LWB,2000.0,700000.0,61.0,1
Cyprus,ST,2000.0,550000.0,60.0,1
Cyprus,CDM,1500.0,725000.0,62.333333333333336,3
Cyprus,RW,1250.0,662500.0,60.5,2
Cyprus,LW,975.0,693750.0,60.75,4
Cyprus,LM,650.0,1200000.0,69.0,1
Cyprus,RM,575.0,1150000.0,67.0,2
Cyprus,GK,500.0,575000.0,64.0,1
Cyprus,RB,500.0,640000.0,62.0,2
Czech Republic,RWB,37333.333333333336,10833333.333333334,75.0,3
Czech Republic,CF,24333.333333333332,9666666.666666666,73.33333333333333,3
Czech Republic,RB,10625.0,5097916.666666667,72.0,12
Czech Republic,CM,9435.416666666666,7143750.0,72.33333333333333,24
Czech Republic,ST,9097.368421052632,5696052.631578947,70.52631578947368,19
Czech Republic,CDM,8094.736842105263,6911842.105263158,72.6842105263158,19
Czech Republic,RW,6000.0,2300000.0,70.0,1
Czech Republic,RM,5126.666666666667,5453333.333333333,71.86666666666666,15
Czech Republic,LB,5090.0,2143333.3333333335,69.26666666666667,15
Czech Republic,CB,4950.0,3009000.0,70.32,25
Czech Republic,CAM,4871.428571428572,5760714.285714285,72.0,14
Czech Republic,LW,4000.0,1625000.0,66.0,2
Czech Republic,GK,2956.6666666666665,3498333.3333333335,70.13333333333334,15
Czech Republic,LM,2320.5882352941176,5076470.588235294,70.70588235294117,17
Côte d'Ivoire,CF,30250.0,11525000.0,70.0,4
Côte d'Ivoire,LW,19777.272727272728,6004545.454545454,69.54545454545455,11
Côte d'Ivoire,CDM,13426.08695652174,5061521.739130435,68.1304347826087,23
Côte d'Ivoire,CB,13184.0,2667000.0,67.48,25
Côte d'Ivoire,RM,13071.42857142857,3681428.5714285714,67.07142857142857,14
Côte d'Ivoire,LM,12745.833333333334,4392083.333333333,69.16666666666667,12
Côte d'Ivoire,RB,12333.333333333334,4083333.3333333335,67.88888888888889,9
Côte d'Ivoire,RWB,12000.0,2408333.3333333335,66.33333333333333,3
Côte d'Ivoire,CM,11884.48275862069,5253448.275862069,66.34482758620689,29
Côte d'Ivoire,LB,8961.111111111111,3172222.222222222,67.33333333333333,9
Côte d'Ivoire,ST,8164.0,3129000.0,67.0,25
Côte d'Ivoire,CAM,7250.0,3606250.0,67.0,4
Côte d'Ivoire,LWB,4390.0,1466000.0,63.8,5
Côte d'Ivoire,RW,3300.0,1165000.0,65.4,5
Côte d'Ivoire,GK,1500.0,375000.0,62.5,2
Denmark,CF,19400.0,4800000.0,71.4,5
Denmark,LW,12767.5,2909500.0,66.5,20
Denmark,CAM,12304.347826086956,3787608.695652174,68.43478260869566,23
Denmark,ST,11000.980392156862,2348725.4901960786,64.94117647058823,51
Denmark,CB,10125.396825396825,2649841.26984127,66.2063492063492,63
Denmark,LWB,9425.0,2046875.0,67.6875,16
Denmark,CM,8901.28205128205,2787179.487179487,66.16666666666667,78
Denmark,LM,8604.166666666666,2566458.3333333335,65.95833333333333,24
Denmark,CDM,8535.9375,3094687.5,66.46875,32
Denmark,RM,8393.478260869566,3425869.565217391,66.47826086956522,23
Denmark,RWB,8292.307692307691,2517307.6923076925,67.15384615384616,13
Denmark,GK,8038.709677419355,1026935.4838709678,63.225806451612904,31
Denmark,LB,7590.384615384615,1622115.3846153845,66.76923076923077,26
Denmark,RB,6962.5,2760000.0,65.45833333333333,24
Denmark,RW,6785.294117647059,1891176.4705882352,65.29411764705883,17
Dominican Republic,ST,60000.0,3750000.0,71.0,2
Dominican Republic,CM,5000.0,1500000.0,67.0,1
Dominican Republic,CAM,2750.0,925000.0,61.5,2
Dominican Republic,LM,500.0,350000.0,56.0,1
Ecuador,CF,19000.0,6000000.0,76.0,1
Ecuador,RW,10883.333333333334,3593750.0,68.41666666666667,12
Ecuador,LW,6875.0,1906250.0,67.75,8
Ecuador,ST,6064.5161290322585,1516129.0322580645,66.29032258064517,31
Ecuador,LWB,5000.0,1600000.0,68.0,1
Ecuador,RM,3927.777777777778,2054166.6666666667,66.61111111111111,36
Ecuador,RWB,3250.0,1412500.0,67.5,2
Ecuador,LB,2910.4166666666665,2397916.6666666665,66.58333333333333,24
Ecuador,CDM,2514.5833333333335,1320416.6666666667,65.58333333333333,24
Ecuador,CM,2454.0,1340000.0,65.96,25
Ecuador,CB,2350.0,1311730.7692307692,64.46153846153847,26
Ecuador,LM,2268.9189189189187,1215540.5405405406,65.8108108108108,37
Ecuador,CAM,1134.2105263157894,1139473.6842105263,65.42105263157895,19
Ecuador,RB,873.9130434782609,1120652.1739130435,64.56521739130434,23
Ecuador,GK,503.125,685000.0,62.5625,16
