nationality,positions,mean_wage,mean_value,mean_overall,count
Afghanistan,RM,2000.0,875000.0,64.0,1
Albania,GK,35000.0,9500000.0,76.0,2
Albania,RB,25666.666666666668,3933333.3333333335,72.66666666666667,3
Albania,ST,19750.0,3412500.0,67.5,8
Albania,CF,17000.0,4450000.0,69.5,2
Albania,CB,12666.666666666666,3363888.888888889,69.22222222222223,9
Albania,LB,11300.0,2250000.0,67.8,5
Albania,CAM,9142.857142857143,2692857.1428571427,65.85714285714286,7
Albania,CM,7000.0,3238636.3636363638,66.72727272727273,11
Albania,LM,5891.666666666667,2300000.0,67.33333333333333,6
Albania,CDM,5700.0,2817500.0,67.3,10
Albania,LW,5700.0,2410000.0,66.2,5
Albania,LWB,3216.6666666666665,925000.0,65.33333333333333,3
Albania,RM,1166.6666666666667,1283333.3333333333,62.333333333333336,3
Albania,RW,1000.0,450000.0,58.0,1
Albania,RWB,650.0,850000.0,62.0,1
Algeria,RW,51875.0,12412500.0,74.625,8
Algeria,RM,30176.470588235294,7741176.470588235,72.11764705882354,17
Algeria,LW,26500.0,2350000.0,72.5,2
Algeria,LM,22500.0,5933333.333333333,72.66666666666667,6
Algeria,CAM,17000.0,4718181.818181818,71.72727272727273,11
Algeria,ST,16413.636363636364,3813636.3636363638,68.9090909090909,11
Algeria,LB,16166.666666666666,2208333.3333333335,68.16666666666667,6
Algeria,CF,16000.0,2300000.0,72.0,1
Algeria,LWB,15000.0,9450000.0,72.5,2
Algeria,CM,13900.0,4940384.615384615,70.3076923076923,13
Algeria,CDM,12714.285714285714,6053571.428571428,71.42857142857143,7
Algeria,CB,10611.111111111111,4241666.666666667,68.0,9
Algeria,RB,10250.0,2431250.0,68.25,4
Algeria,GK,7400.0,1061000.0,68.4,5
Angola,CB,19666.666666666668,5700000.0,73.66666666666667,3
Angola,RB,16666.666666666668,5400000.0,73.0,3
Angola,LWB,14000.0,2200000.0,71.0,2
Angola,ST,13750.0,3500000.0,72.0,4
Angola,LB,13000.0,2350000.0,71.0,2
