,team,position,points,won,goalsFor,form,age,overall,value
58,Manchester City,1.0,80.0,25.0,80.0,1.0,23.875,75.1875,37880156.25
59,Liverpool,2.0,79.0,24.0,85.0,1.0,24.848484848484848,76.84848484848484,34976515.15151515
60,Chelsea,3.0,66.0,19.0,68.0,1.0,24.393939393939394,76.78787878787878,29906818.181818184
61,Arsenal,4.0,60.0,19.0,52.0,1.0,21.757575757575758,71.81818181818181,15681060.606060605
62,Tottenham Hotspur,5.0,58.0,18.0,56.0,1.0,22.848484848484848,72.39393939393939,18971515.151515152
63,Manchester United,6.0,55.0,15.0,54.0,1.0,25.454545454545453,75.66666666666667,23238030.303030305
64,West Ham United,7.0,52.0,15.0,52.0,1.0,25.258064516129032,71.58064516129032,11532419.35483871
65,Wolverhampton Wanderers,8.0,49.0,15.0,33.0,1.0,23.575757575757574,70.33333333333333,10281818.181818182
66,Newcastle United,9.0,43.0,11.0,40.0,0.0,26.1875,73.375,8376562.5
67,Leicester City,10.0,42.0,11.0,47.0,0.0,25.387096774193548,74.93548387096774,15545322.58064516
68,Brighton & Hove Albion,11.0,41.0,9.0,31.0,0.0,22.322580645161292,67.96774193548387,6918709.677419355
69,Brentford,12.0,40.0,11.0,41.0,0.0,23.35483870967742,68.7741935483871,4328225.806451613
70,Southampton,13.0,40.0,9.0,40.0,0.0,24.6,71.66666666666667,7359166.666666667
71,Crystal Palace,14.0,38.0,8.0,43.0,0.0,24.967741935483872,70.83870967741936,6264516.129032258
72,Aston Villa,15.0,37.0,11.0,42.0,0.0,23.1,70.76666666666667,11816666.666666666
73,Leeds United,16.0,34.0,8.0,38.0,0.0,22.0,69.83333333333333,7911666.666666667
74,Burnley,17.0,31.0,6.0,29.0,0.0,26.903225806451612,71.3225806451613,5701612.903225807
75,Everton,18.0,29.0,8.0,34.0,0.0,25.53125,74.53125,12399062.5
76,Watford,19.0,22.0,6.0,31.0,0.0,26.233333333333334,71.5,3983500.0
77,Norwich City,20.0,21.0,5.0,22.0,0.0,23.696969696969695,69.03030303030303,3493787.878787879
