,team,position,points,won,goalsFor,form,age,overall,value
18,Paris Saint-Germain,1.0,78.0,24.0,76.0,1.0,25.7,79.43333333333334,38765000.0
19,Olympique de Marseille,2.0,65.0,19.0,56.0,1.0,22.757575757575758,71.87878787878788,9834090.909090908
20,Stade Rennais FC,3.0,59.0,18.0,75.0,1.0,23.565217391304348,73.82608695652173,9603695.652173912
21,AS Monaco,4.0,59.0,17.0,55.0,1.0,23.178571428571427,74.17857142857143,12522321.42857143
22,OGC Nice,5.0,57.0,17.0,43.0,1.0,23.25925925925926,72.74074074074075,8707407.407407407
23,RC Strasbourg Alsace,6.0,56.0,15.0,55.0,1.0,25.652173913043477,72.04347826086956,5452173.9130434785
24,Racing Club de Lens,7.0,54.0,15.0,53.0,1.0,24.40740740740741,70.55555555555556,4830555.555555556
25,Olympique Lyonnais,8.0,52.0,14.0,56.0,1.0,22.93103448275862,72.86206896551724,11321551.72413793
26,LOSC Lille,9.0,51.0,13.0,42.0,1.0,25.25,74.45833333333333,9553333.333333334
27,FC Nantes,10.0,50.0,14.0,48.0,1.0,24.5,69.33333333333333,4465833.333333333
28,Stade Brestois 29,11.0,45.0,12.0,43.0,0.0,24.444444444444443,70.44444444444444,3345370.3703703703
29,Montpellier Hérault SC,12.0,42.0,12.0,46.0,0.0,23.62962962962963,70.70370370370371,5199074.074074074
30,Stade de Reims,13.0,40.0,9.0,36.0,0.0,23.103448275862068,70.41379310344827,3891551.724137931
31,Angers SCO,14.0,35.0,8.0,38.0,0.0,24.653846153846153,68.96153846153847,3056730.769230769
32,FC Lorient,15.0,34.0,8.0,33.0,0.0,24.333333333333332,67.26666666666667,2146166.6666666665
33,ESTAC Troyes,16.0,33.0,8.0,30.0,0.0,25.363636363636363,68.36363636363636,2078333.3333333333
34,Clermont Foot 63,17.0,33.0,8.0,35.0,0.0,25.48148148148148,68.37037037037037,2070370.3703703703
35,AS Saint-Étienne,18.0,31.0,7.0,38.0,0.0,23.78787878787879,70.66666666666667,3436363.6363636362
36,FC Girondins de Bordeaux,19.0,27.0,5.0,47.0,0.0,24.066666666666666,70.53333333333333,3604166.6666666665
37,FC Metz,20.0,24.0,4.0,29.0,0.0,24.666666666666668,69.06666666666666,2503333.3333333335
