league,weight,height,defending,contract_length,mentality,attacking,skill,overall,value
PL,0.007371761058547823,0.22861160835474656,-0.38250222586435334,-0.6290868238852603,-0.4291016937877025,-0.38468815444508947,-0.6332937100865123,-0.5720294185838589,-0.810209852991809
FL1,0.19389054157607094,0.1358091739641961,-0.5417078523995557,-0.5782572251703383,-0.6834599056805252,-0.696634876727732,-0.7200873138413044,-0.7464703849523618,-0.6518458917352105
PD,-0.11865949183568078,0.2462976180317098,-0.3180361804414112,-0.6883440146229977,-0.6338578620652126,-0.6660239157145422,-0.7073324398304807,-0.8057911848056761,-0.8319810152281016
BL1,-0.15612797135450474,-0.22971468087501334,-0.5272138451491983,-0.5637572810624557,-0.7323662575984252,-0.7160295401161909,-0.6609972000243248,-0.8000100255228242,-0.7278803010653228
SA,0.15145632799573217,0.15166690574145783,-0.7627061334697479,-0.7013471351386226,-0.8852901180406803,-0.9070578415916256,-0.8643222482997291,-0.8828791498424166,-0.8678241237103754
