,club_name,avg.age
0,AC Milan,26.7037
1,SSC Napoli,27.28
2,FC Internazionale Milano,30.08
3,Juventus FC,27.33333
4,AS Roma,25.17857
5,SS Lazio,27.57692
6,Atalanta BC,26.5
7,ACF Fiorentina,27.04
8,Hellas Verona FC,25.88
9,US Sassuolo Calcio,26.44828
10,Torino FC,25.34483
11,Bologna FC 1909,25.86207
12,Udinese Calcio,26.65385
13,Empoli FC,25.35714
14,Spezia Calcio,23.64516
15,UC Sampdoria,27.92
16,Cagliari Calcio,26.18519
17,Venezia FC,26.4
18,Genoa CFC,25.83333
19,US Salernitana 1919,27.45714
